Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,48.450001,51.490002,48.450001,51.220001,51.220001,1042000
2022-10-26,51.759998,53.27,50.52,50.540001,50.540001,862100
2022-10-27,51.93,54.389999,51.93,53.0,53.0,1502100
2022-10-28,52.75,56.810001,52.630001,55.82,55.82,1221100
2022-10-31,55.68,56.689999,54.775002,55.57,55.57,941900
2022-11-01,56.52,56.830002,54.040001,54.240002,54.240002,901400
2022-11-02,53.75,54.415001,51.669998,51.93,51.93,1221800
2022-11-03,50.0,50.450001,47.43,47.650002,47.650002,1552500
2022-11-04,48.279999,49.200001,45.509998,47.02,47.02,1327500
2022-11-07,47.029999,47.360001,43.509998,44.200001,44.200001,1376500
2022-11-08,44.509998,46.73,43.939999,45.66,45.66,946900
2022-11-09,44.880001,46.330002,44.419998,46.0,46.0,889500
2022-11-10,48.5,51.07,47.790001,51.07,51.07,1138400
2022-11-11,51.549999,52.23,50.02,51.73,51.73,751200
2022-11-14,51.240002,52.27,50.130001,51.27,51.27,528800
2022-11-15,52.5,52.970001,51.080002,51.669998,51.669998,447300
2022-11-16,50.990002,51.875,49.950001,51.43,51.43,384700
2022-11-17,50.389999,51.695,49.779999,50.740002,50.740002,433300
2022-11-18,51.93,52.174999,49.060001,49.799999,49.799999,522900
2022-11-21,49.360001,49.630001,47.57,47.630001,47.630001,759200
2022-11-22,47.73,47.869999,46.130001,47.389999,47.389999,748000
2022-11-23,47.389999,48.380001,46.169998,48.299999,48.299999,586600
2022-11-25,48.18,49.32,48.028,49.290001,49.290001,225000
2022-11-28,49.02,49.700001,48.689999,49.560001,49.560001,630200
2022-11-29,49.75,51.77,49.310001,50.849998,50.849998,1080900
2022-11-30,51.099998,52.669998,49.880001,52.599998,52.599998,641800
2022-12-01,52.66,53.255001,51.360001,52.07,52.07,502700
2022-12-02,50.860001,52.859001,50.549999,51.93,51.93,523100
2022-12-05,51.639999,51.855,49.380001,49.709999,49.709999,941400
2022-12-06,49.75,50.445,48.330002,49.200001,49.200001,640500
2022-12-07,48.950001,49.34,48.150002,48.310001,48.310001,530200
2022-12-08,48.580002,50.16,47.900002,48.860001,48.860001,507100
2022-12-09,48.650002,49.080002,47.119999,47.18,47.18,523800
2022-12-12,47.119999,49.77,47.119999,49.75,49.75,755300
2022-12-13,51.849998,51.849998,48.650002,49.25,49.25,718700
2022-12-14,49.43,50.494999,48.860001,49.389999,49.389999,576500
2022-12-15,48.59,48.709999,47.369999,48.360001,48.360001,568700
2022-12-16,47.919998,49.02,47.709999,48.450001,48.450001,767500
2022-12-19,48.279999,48.400002,45.939999,46.439999,46.439999,693500
2022-12-20,46.189999,48.41,46.189999,46.799999,46.799999,604900
2022-12-21,46.049999,46.91,45.150002,45.439999,45.439999,619900
2022-12-22,44.830002,45.169998,43.810001,44.950001,44.950001,884000
2022-12-23,44.700001,45.189999,44.150002,44.889999,44.889999,329800
2022-12-27,44.540001,44.860001,43.34,43.380001,43.380001,450000
2022-12-28,43.02,43.77,42.360001,42.549999,42.549999,517700
2022-12-29,42.990002,43.490002,41.459999,41.599998,41.599998,822200
2022-12-30,41.040001,42.009998,40.830002,41.529999,41.529999,687000
2023-01-03,42.540001,42.700001,40.900002,41.68,41.68,784000
2023-01-04,42.580002,44.91,42.400002,44.880001,44.880001,1047700
2023-01-05,44.139999,45.610001,43.365002,45.490002,45.490002,748400
2023-01-06,45.950001,47.200001,45.240002,46.43,46.43,1060600
2023-01-09,47.130001,48.990002,46.91,48.080002,48.080002,1273500
2023-01-10,46.849998,51.366001,46.200001,51.09,51.09,2638300
2023-01-11,51.869999,53.740002,51.490002,53.720001,53.720001,1448600
2023-01-12,54.43,55.84,53.259998,55.09,55.09,1563100
2023-01-13,55.18,56.617001,54.43,56.360001,56.360001,916900
2023-01-17,54.634998,57.810001,54.619999,57.790001,57.790001,1042000
2023-01-18,58.41,58.610001,54.095001,54.389999,54.389999,970400
2023-01-19,54.080002,55.099998,53.07,54.900002,54.900002,775700
2023-01-20,55.790001,56.049999,54.450001,54.75,54.75,792300
2023-01-23,54.869999,56.23,54.0,56.09,56.09,578600
2023-01-24,55.27,56.549999,54.720001,55.23,55.23,480300
2023-01-25,54.259998,56.75,53.84,56.509998,56.509998,732600
2023-01-26,57.099998,58.259998,55.650002,56.450001,56.450001,546900
2023-01-27,56.139999,57.790001,55.819,56.52,56.52,473000
2023-01-30,55.540001,56.040001,54.959999,55.490002,55.490002,767600
2023-01-31,55.75,57.360001,55.535,56.880001,56.880001,510000
2023-02-01,56.799999,58.279999,55.748001,57.869999,57.869999,634400
2023-02-02,58.740002,61.389999,58.48,61.0,61.0,1310600
2023-02-03,59.689999,60.299999,58.189999,58.290001,58.290001,993900
2023-02-06,57.759998,58.82,57.213001,57.84,57.84,494800
2023-02-07,57.450001,59.419998,56.810001,59.07,59.07,586300
2023-02-08,58.509998,59.009998,57.099998,57.889999,57.889999,927600
2023-02-09,58.77,59.209999,56.689999,56.700001,56.700001,645500
2023-02-10,56.310001,57.119999,55.34,55.490002,55.490002,938200
2023-02-13,56.060001,57.095001,55.41,56.830002,56.830002,740300
2023-02-14,56.34,57.299999,55.18,56.880001,56.880001,685500
2023-02-15,56.700001,59.105,56.32,58.689999,58.689999,1069700
2023-02-16,57.799999,58.560001,53.630001,56.669998,56.669998,2398100
2023-02-17,56.900002,56.900002,54.110001,55.0,55.0,1437800
2023-02-21,53.639999,55.665001,53.509998,55.400002,55.400002,1218800
2023-02-22,56.119999,57.849998,55.57,57.82,57.82,984200
2023-02-23,57.959999,58.049999,55.709999,56.599998,56.599998,1082600
2023-02-24,55.360001,56.700001,55.049999,56.540001,56.540001,1307900
2023-02-27,56.610001,57.009998,54.470001,55.279999,55.279999,959300
2023-02-28,55.349998,56.610001,55.189999,55.790001,55.790001,987500
2023-03-01,56.130001,57.189999,55.119999,57.07,57.07,1025500
2023-03-02,56.75,57.525002,55.299999,57.23,57.23,584600
2023-03-03,57.380001,58.290001,56.82,58.0,58.0,679200
2023-03-06,58.5,58.669998,57.029999,57.84,57.84,826600
2023-03-07,58.110001,59.07,57.654999,58.02,58.02,801500
2023-03-08,58.0,59.09,57.41,59.080002,59.080002,624000
2023-03-09,59.080002,59.5,56.0,56.049999,56.049999,855400
2023-03-10,55.639999,56.040001,54.099998,54.529999,54.529999,951100
2023-03-13,53.419998,54.970001,52.009998,54.48,54.48,1105700
2023-03-14,56.119999,57.279999,55.091,55.990002,55.990002,819600
2023-03-15,55.099998,56.040001,54.25,55.470001,55.470001,981500
2023-03-16,54.959999,56.439999,54.240002,56.220001,56.220001,832800
2023-03-17,55.700001,55.945,53.715,54.91,54.91,1338100
2023-03-20,55.029999,56.669998,54.810001,55.389999,55.389999,602000
2023-03-21,56.16,56.619999,55.23,55.25,55.25,636200
2023-03-22,56.119999,56.919998,54.995998,55.220001,55.220001,635900
2023-03-23,55.700001,55.875,53.25,53.959999,53.959999,848100
2023-03-24,53.779999,53.889999,52.509998,52.560001,52.560001,725400
2023-03-27,53.259998,53.709999,52.400002,53.619999,53.619999,865800
2023-03-28,53.360001,54.27,52.834999,53.099998,53.099998,697900
2023-03-29,53.599998,53.880001,52.630001,53.799999,53.799999,558500
2023-03-30,54.5,54.77,53.349998,54.419998,54.419998,578900
2023-03-31,54.889999,56.279999,54.650002,55.490002,55.490002,652900
2023-04-03,55.34,55.939999,54.560001,55.560001,55.560001,525900
2023-04-04,55.939999,56.150002,54.830002,56.130001,56.130001,709600
2023-04-05,55.849998,55.849998,54.139999,54.849998,54.849998,845400
2023-04-06,54.939999,55.25,53.880001,55.150002,55.150002,508100
2023-04-10,54.91,56.610001,54.849998,56.560001,56.560001,870600
2023-04-11,56.75,57.689999,56.639999,57.220001,57.220001,718900
2023-04-12,57.98,58.189999,55.810001,55.830002,55.830002,723500
2023-04-13,56.209999,56.669998,54.779999,54.849998,54.849998,1027200
2023-04-14,54.389999,55.215,53.400002,54.029999,54.029999,760000
2023-04-17,54.57,55.779999,54.310001,55.25,55.25,438000
2023-04-18,55.580002,56.139999,54.360001,54.880001,54.880001,531900
2023-04-19,54.740002,55.540001,53.915001,55.119999,55.119999,591600
2023-04-20,54.93,56.59,54.259998,55.599998,55.599998,565500
2023-04-21,55.869999,56.139999,55.150002,55.689999,55.689999,351800
2023-04-24,55.630001,56.75,54.93,55.259998,55.259998,599000
2023-04-25,54.919998,55.549999,53.759998,53.900002,53.900002,546100
2023-04-26,54.23,55.380001,53.450001,53.540001,53.540001,568900
2023-04-27,54.009998,54.474998,53.41,54.09,54.09,387900
2023-04-28,53.900002,54.889999,53.080002,54.810001,54.810001,579300
2023-05-01,54.470001,55.740002,54.18,54.740002,54.740002,863400
2023-05-02,54.43,54.630001,53.049999,54.48,54.48,844200
2023-05-03,54.599998,54.790001,52.639999,52.82,52.82,1548000
2023-05-04,57.990002,61.935001,57.099998,61.57,61.57,3911900
2023-05-05,63.0,66.290001,61.259998,65.529999,65.529999,2289400
2023-05-08,65.900002,67.139999,65.07,66.919998,66.919998,1355700
2023-05-09,65.93,66.834999,65.290001,65.959999,65.959999,885400
2023-05-10,66.730003,67.5,65.389999,66.379997,66.379997,1084600
2023-05-11,66.620003,66.897003,65.660004,66.489998,66.489998,583000
2023-05-12,66.480003,66.519997,64.68,65.209999,65.209999,704600
2023-05-15,68.5,71.934998,68.089996,70.300003,70.300003,2889600
2023-05-16,70.080002,70.974998,67.209999,67.239998,67.239998,1160600
2023-05-17,67.760002,68.129997,66.450996,67.400002,67.400002,690300
2023-05-18,67.0,67.800003,66.220001,66.720001,66.720001,636800
2023-05-19,67.639999,69.190002,65.885002,66.690002,66.690002,823800
2023-05-22,67.0,67.489998,66.199997,66.669998,66.669998,1127500
2023-05-23,66.279999,66.809998,65.230003,65.25,65.25,889100
2023-05-24,65.0,66.32,64.440002,65.839996,65.839996,770700
2023-05-25,66.129997,66.129997,64.660004,65.900002,65.900002,548700
2023-05-26,65.839996,66.919998,65.330002,65.400002,65.400002,447700
2023-05-30,65.809998,66.580002,64.949997,65.129997,65.129997,565700
2023-05-31,66.32,66.75,64.279999,66.169998,66.169998,799800
2023-06-01,66.169998,67.669998,65.269997,67.540001,67.540001,765700
2023-06-02,68.099998,68.650002,67.239998,68.589996,68.589996,788200
2023-06-05,67.769997,69.470001,67.769997,68.75,68.75,595500
2023-06-06,68.75,70.349998,68.110001,70.0,70.0,671700
2023-06-07,70.279999,71.209999,69.419998,70.169998,70.169998,942600
2023-06-08,69.440002,70.425003,68.919998,69.050003,69.050003,469900
2023-06-09,69.169998,69.330002,68.120003,68.760002,68.760002,400700
2023-06-12,68.970001,69.18,68.029999,68.75,68.75,745700
2023-06-13,68.790001,70.290001,68.419998,70.139999,70.139999,543000
2023-06-14,71.040001,73.279999,70.400002,72.739998,72.739998,1256500
2023-06-15,72.529999,73.110001,71.419998,72.129997,72.129997,761000
2023-06-16,72.5,72.782997,70.709999,71.129997,71.129997,726700
2023-06-20,71.18,74.839996,71.110001,73.989998,73.989998,1639300
2023-06-21,73.769997,76.025002,73.480003,75.190002,75.190002,1090900
2023-06-22,74.949997,76.139999,73.739998,75.059998,75.059998,955800
2023-06-23,74.25,75.636002,73.825996,73.949997,73.949997,771900
2023-06-26,73.529999,74.82,71.959999,73.019997,73.019997,714400
2023-06-27,73.720001,75.468002,73.580002,74.900002,74.900002,502300
2023-06-28,74.720001,76.959999,74.625,76.870003,76.870003,534900
2023-06-29,77.110001,78.709999,76.894997,77.650002,77.650002,755600
2023-06-30,77.959999,79.330002,77.190002,77.720001,77.720001,773000
2023-07-03,77.919998,78.779999,77.650002,78.099998,78.099998,341200
2023-07-05,77.940002,77.940002,76.080002,77.269997,77.269997,854400
